Marca temporal,Unidad Académica o área de pertenencia,Claustro al que pertenece,"Rol o función, en la UPC"
12/09/2026 09:00:26,Facultad de Arte y Diseño,Graduados,Graduado
12/09/2026 09:01:22,Sede Regional Las Varillas - Dalmacio Vélez Sarsfield,No docente,Personal no docente
12/09/2026 09:02:31,Facultad de Turismo y Ambiente,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 09:02:57,Sede Regional Río Tercero,No docente,Personal no docente
12/09/2026 09:03:42,Facultad de Educación Física,No docente,Personal no docente
12/09/2026 09:04:34,Secretaría de Bienestar Estudiantil y Graduados,Estudiantil,Autoridad institucional
12/09/2026 09:05:12,Sede Regional Villa Carlos Paz - Arturo Umberto Illia - ISAUI,Docente,Docente
12/09/2026 09:05:33,Facultad de Educación Física,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 09:06:30,Sede Regional Laboulaye - Eduardo Lefebvre,No docente,Personal no docente
12/09/2026 09:07:28,Sede Regional Las Varillas - Dalmacio Vélez Sarsfield,Docente,Dirección o Coordinación de área
12/09/2026 09:08:24,Sede Regional Capilla del Monte - Dr. Bernardo Houssay,No docente,Secretaria o Secretario
12/09/2026 09:08:58,Sede Regional Deán Funes - Juan Bautista Alberdi,No docente,Personal no docente
12/09/2026 09:10:00,Sede Regional Mina Clavero - Dr. Carlos María Carena,Graduados,Graduado
12/09/2026 09:10:34,Facultad de Educación y Salud,Docente,Docente
12/09/2026 09:11:39,Sede Regional Morteros - María Justa Moyano de Ezpeleta,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 09:12:41,Sede Regional Marcos Juárez - Bernardo Houssay,No docente,Personal no docente
12/09/2026 09:13:26,Sede Regional Deán Funes - Juan Bautista Alberdi,No docente,Dirección o Coordinación de área
12/09/2026 09:13:55,"Secretaría de Ciencia, Arte y Tecnología",Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 09:14:46,Sede Regional Villa Dolores - Luis Tessandori,Docente,Docente
12/09/2026 09:15:38,Secretaría de Extensión,Docente,Docente
12/09/2026 09:16:00,Sede Regional Deán Funes - Juan Bautista Alberdi,Docente,Dirección o Coordinación de carrera
12/09/2026 09:17:04,Sede Regional Laboulaye - Eduardo Lefebvre,Graduados,Graduado
12/09/2026 09:17:35,Sede Regional Marcos Juárez - Bernardo Houssay,Docente,Secretaria o Secretario
12/09/2026 09:18:12,Sede Regional Mina Clavero - Dr. Carlos María Carena,No docente,Personal no docente
12/09/2026 09:18:41,Sede Regional Laboulaye - Eduardo Lefebvre,Docente,Dirección o Coordinación de área
12/09/2026 09:19:35,Rectorado,Docente,Docente
12/09/2026 09:20:34,Sede Regional Bell Ville - Mariano Moreno,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 09:21:34,Facultad de Arte y Diseño,Graduados,Graduado
12/09/2026 09:22:43,Rectorado,Docente,Docente
12/09/2026 09:23:37,Sede Regional Las Varillas - Dalmacio Vélez Sarsfield,No docente,Autoridad institucional
12/09/2026 09:24:41,Facultad de Educación y Salud,Docente,Docente
12/09/2026 09:25:09,Jefatura de Gabinete,Docente,Docente
12/09/2026 09:25:38,Sede Regional Las Varillas - Dalmacio Vélez Sarsfield,Docente,Docente
12/09/2026 09:26:22,Secretaría de Extensión,Docente,Autoridad institucional
12/09/2026 09:27:31,Sede Regional Bell Ville - Mariano Moreno,Docente,Docente
12/09/2026 09:28:19,Sede Regional Bell Ville - Mariano Moreno,No docente,Dirección o Coordinación de área
12/09/2026 09:29:18,Jefatura de Gabinete,No docente,Personal no docente
12/09/2026 09:29:59,Sede Regional Morteros - María Justa Moyano de Ezpeleta,No docente,Personal no docente
12/09/2026 09:30:44,Secretaría de Extensión,No docente,Personal no docente
12/09/2026 09:31:38,Facultad de Educación Física,Graduados,Graduado
12/09/2026 09:32:28,Sede Regional Bell Ville - Mariano Moreno,Estudiantil,Estudiante de pregrado y/o grado
